time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,11971,1392,3796,1995
2026-04-14 00:00:00+00:00,20128,1440,3948,2334
2026-04-15 00:00:00+00:00,30224,1850,3606,2057
2026-04-16 00:00:00+00:00,11419,1345,3578,1867
2026-04-17 00:00:00+00:00,7964,858,3018,1732
2026-04-18 00:00:00+00:00,5500,834,2607,1357
2026-04-19 00:00:00+00:00,5744,730,2370,1312
2026-04-20 00:00:00+00:00,6530,900,2778,1582
2026-04-21 00:00:00+00:00,13960,1370,2948,1634
2026-04-22 00:00:00+00:00,28217,1875,3096,1714
2026-04-23 00:00:00+00:00,16799,1615,2909,1610
2026-04-24 00:00:00+00:00,16115,1796,3008,1652
2026-04-25 00:00:00+00:00,8497,993,2609,1448
2026-04-26 00:00:00+00:00,2790,763,2322,1227
