time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,12350,1677,3716,1945
2026-04-08 00:00:00+00:00,12230,1378,3813,2040
2026-04-09 00:00:00+00:00,11653,1258,3829,2214
2026-04-10 00:00:00+00:00,7578,1011,3148,1693
2026-04-11 00:00:00+00:00,8595,737,3219,1728
2026-04-12 00:00:00+00:00,7953,640,2550,1432
2026-04-13 00:00:00+00:00,11971,1392,3796,1995
2026-04-14 00:00:00+00:00,20128,1440,3948,2334
2026-04-15 00:00:00+00:00,30224,1850,3606,2057
2026-04-16 00:00:00+00:00,11419,1345,3578,1867
2026-04-17 00:00:00+00:00,7964,858,3018,1732
2026-04-18 00:00:00+00:00,5500,834,2607,1357
2026-04-19 00:00:00+00:00,5744,730,2370,1312
2026-04-20 00:00:00+00:00,6530,900,2778,1582
