referrer,views_total,views_unique
github.com,10575,5752
Google,4655,3512
agpt.co,3260,1872
chatgpt.com,762,407
Bing,533,310
doubao.com,194,83
aixploria.com,180,140
futurepedia.io,163,118
link.zhihu.com,91,63
medium.com,89,38
