referrer,views_total,views_unique
github.com,9164,4978
Google,3469,2732
agpt.co,2762,1615
chatgpt.com,607,381
Bing,471,265
aixploria.com,233,158
futurepedia.io,148,94
doubao.com,129,59
link.zhihu.com,100,55
DuckDuckGo,92,63
