referrer,views_total,views_unique
github.com,10462,5682
Google,4717,3590
agpt.co,3149,1833
chatgpt.com,668,381
Bing,504,307
aixploria.com,190,142
futurepedia.io,190,125
doubao.com,183,80
t.co,96,80
link.zhihu.com,90,63
