referrer,views_total,views_unique
github.com,11184,5834
Google,4704,3555
agpt.co,3477,2051
chatgpt.com,853,464
Bing,572,314
doubao.com,242,99
aixploria.com,219,165
futurepedia.io,167,117
namu.wiki,127,73
youtube.com,116,39
